,ZIPCODE,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Score
129,00983,24131,2442,1410,6875,3579,2695,5248,1882,4.075255894906967
130,00985,22617,2735,1400,6694,3583,3188,3777,1240,3.856877569969492
131,00987,39099,3729,2609,9615,5102,4670,9487,3887,4.237474104197038
132,01001,13508,293,858,3816,2968,1183,2601,1789,4.395395321291087
133,01002,13857,379,291,1860,1263,778,3541,5745,5.552717038319983
134,01003,118,0,27,14,49,10,13,5,3.855932203389831
135,01005,3569,11,127,1315,598,363,615,540,4.451386943121323
136,01007,10120,120,413,2259,1551,939,2472,2366,4.942292490118577
137,01008,949,23,73,302,152,94,188,117,4.3203371970495255
138,01009,198,11,0,12,108,0,67,0,4.44949494949495
139,01010,2777,45,117,736,547,334,535,463,4.607850198055456
140,01011,1081,22,100,429,211,117,128,74,3.9074930619796486
141,01012,442,8,33,153,77,40,70,61,4.271493212669683
142,01013,15277,1128,1926,4915,2879,1443,1798,1188,3.7677554493683316
143,01020,22277,884,1872,7737,4860,2986,2617,1321,3.9124657718723346
144,01022,1571,26,56,459,469,185,231,145,4.275620623806493
145,01026,710,3,15,216,147,32,167,130,4.705633802816902
146,01027,13940,199,451,4139,2341,1724,3068,2018,4.593687230989957
147,01028,11470,232,374,2531,2077,1348,2831,2077,4.807846556233653
148,01029,507,3,39,136,117,28,124,60,4.459566074950691
149,01030,8220,46,379,2506,1444,1041,1910,894,4.503771289537713
150,01031,855,13,66,322,133,95,170,56,4.128654970760234
151,01032,401,0,14,99,65,34,95,94,4.945137157107232
152,01033,4713,105,205,1204,770,444,1265,720,4.680033948652663
153,01034,1615,14,60,569,303,160,335,174,4.3845201238390095
154,01035,4175,82,86,1033,630,354,1136,854,4.895089820359281
155,01036,3882,35,202,1235,585,486,712,627,4.52730551262236
156,01037,503,0,0,162,65,71,96,109,4.85089463220676
157,01038,2260,12,22,669,336,308,509,404,4.791592920353982
158,01039,883,11,29,155,112,71,191,314,5.301245753114383
159,01040,26708,2516,3146,7953,4952,1897,3773,2471,3.8151490190205184
160,01050,1771,13,85,573,364,227,347,162,4.352907961603614
161,01053,1339,24,57,359,205,93,283,318,4.797610156833458
162,01054,1496,8,45,233,180,74,355,601,5.497326203208557
163,01056,15829,1208,1537,5092,2782,1446,2550,1214,3.8987933539705604
164,01057,6485,189,277,2025,1424,734,1023,813,4.3196607555898225
165,01060,10261,188,438,1500,1116,673,2724,3622,5.368969885976026
166,01062,7520,190,331,1372,975,552,1894,2206,5.110904255319149
167,01063,0,0,0,0,0,0,0,0,
168,01066,9,0,0,0,0,0,0,9,7.0
169,01068,1345,20,48,403,255,142,285,192,4.542007434944238
170,01069,6649,138,420,2161,1423,831,1238,438,4.181380658745676
171,01070,448,2,11,98,80,50,75,132,5.049107142857142
172,01071,928,9,32,390,117,126,141,113,4.286637931034482
173,01072,1103,3,26,123,155,62,296,438,5.617407071622846
174,01073,4401,12,225,1301,717,483,775,888,4.661213360599864
175,01074,304,0,36,137,53,0,60,18,3.8848684210526314
176,01075,11747,176,466,2804,2101,1366,2351,2483,4.7876904741636155
