ZIPCODE,STATE,2006_Score,2007_Score,2008_Score,2009_Score,2010_Score,2011_Score,2012_Score,2013_Score,2014_Score,2015_Score,2016_Score,2017_Score
57430,SD,2.0222634508348794,2.033304867634501,2.140896614821592,2.21469465648855,2.380321665089877,2.3796641791044775,2.4537037037037037,2.4770642201834865,2.5619047619047617,2.58252427184466,2.4854368932038833,2.574257425742574
57442,SD,1.9847238542890717,2.042299349240781,2.2043879907621244,2.249130938586327,2.379511059371362,2.405005688282139,2.5348837209302326,2.5747126436781604,2.6179775280898876,2.642857142857143,2.5749999999999997,2.6835443037974684
57445,SD,2.2735655737704916,2.321828358208955,2.468468468468468,2.5878594249201274,2.6687370600414084,2.600790513833992,2.7142857142857144,2.730769230769231,2.777777777777778,2.7676767676767677,2.78125,2.8936170212765955
57451,SD,2.1683168316831685,2.1531874405328257,2.3276892430278884,2.397948717948718,2.405458089668616,2.498542274052478,2.644859813084112,2.669902912621359,2.7549019607843137,2.787878787878788,2.757575757575758,2.8210526315789473
57469,SD,1.9257585539057456,1.9140271493212668,2.1074489123269613,2.149477806788512,2.2023270846800256,2.198533903481979,2.2716049382716053,2.310126582278481,2.409090909090909,2.4276729559748427,2.418300653594771,2.4342105263157894
57472,SD,1.9898373983739837,1.9961977186311788,2.2162162162162167,2.2171052631578947,2.2731182795698928,2.278481012658228,2.4489795918367343,2.5106382978723403,2.7333333333333334,2.75,2.644444444444445,2.6363636363636367
57501,SD,2.240215755143,2.243594285039556,2.341317365269461,2.3816258762759808,2.386771690026642,2.3158872377622375,2.4318936877076416,2.475258918296893,2.57728337236534,2.6155632984901276,2.6397660818713455,2.6910377358490565
57532,SD,2.1171548117154813,2.105905006418485,2.2228835978835977,2.2908450704225354,2.3169864960909736,2.3237971391417425,2.4832214765100673,2.4834437086092715,2.5945945945945947,2.651006711409396,2.648648648648649,2.724832214765101
57533,SD,1.781183932346723,1.7298578199052135,1.8706624605678235,1.8669724770642202,1.931111111111111,1.9416216216216218,2.090909090909091,2.066666666666667,2.160919540229885,2.176470588235294,2.137931034482759,2.208791208791209
57551,SD,1.8078651685393257,1.771371769383698,1.9161147902869755,1.910989010989011,1.9514124293785309,1.9737417943107223,2.053763440860215,2.0114942528735633,2.134831460674157,2.0229885057471266,2.057471264367816,2.1219512195121952
57564,SD,2.237704918032787,2.2557692307692307,2.509240246406571,2.605427974947808,2.569471624266145,2.63921568627451,2.6470588235294117,2.666666666666667,2.8235294117647056,2.8461538461538463,2.857142857142857,2.857142857142857
57567,SD,1.9272727272727272,1.9600515463917525,2.0256410256410255,2.0304487179487176,2.09009009009009,2.163141993957704,2.304347826086956,2.3283582089552235,2.4925373134328357,2.5223880597014925,2.3538461538461544,2.5507246376811596
57580,SD,1.8501454898157128,1.7852233676975946,1.9227447216890594,1.976016684045881,2.0422606924643585,2.061485489424496,2.183574879227053,2.2039800995024876,2.3034825870646767,2.316831683168317,2.283505154639175,2.3316326530612246
57601,SD,1.8991957104557642,1.8306414397784956,1.9600638977635783,2.0143725815367612,2.063978494623656,2.0657084188911705,2.194871794871795,2.1428571428571432,2.1968911917098444,2.2642487046632125,2.2578947368421054,2.328042328042328
57701,SD,1.8452361846680574,1.8213895616659541,1.8911135068535347,1.8977893368010403,1.9279753173840475,1.9163784526460415,1.9740198393953707,1.9995176073323684,2.069858329262335,2.101449275362319,2.141885325558795,2.175287356321839
57702,SD,2.472513664635296,2.472009158557527,2.5272124665658797,2.5388286589677116,2.578294292113068,2.574778163013457,2.6239117817759725,2.666666666666667,2.7737313432835817,2.8075539568345325,2.8291215403128764,2.889622075584883
57703,SD,2.013632090253839,2.0225154166069124,2.1091715976331358,2.108032424465733,2.153779945488452,2.1796798886569246,2.2148648648648646,2.2386666666666666,2.3155080213903747,2.340731070496084,2.3778920308483293,2.405269761606023
57717,SD,1.9109493139176699,1.8859495882206139,2.0116657623440046,2.013849632560769,2.068560502594919,2.1364127498649377,2.163157894736842,2.163588390501319,2.2585751978891824,2.2559366754617414,2.2426666666666666,2.303664921465969
57718,SD,2.173082942097027,2.20734986555124,2.331774243841596,2.306832298136646,2.337234370187866,2.3614386792452833,2.441791044776119,2.4718100890207717,2.548961424332344,2.571014492753623,2.5833333333333335,2.618233618233618
57730,SD,2.139873916469661,2.1117771509167844,2.22693940563489,2.2370370370370374,2.3104247104247104,2.2828020756115643,2.3484848484848486,2.4031007751937987,2.5019157088122603,2.5475285171102655,2.552631578947368,2.605166051660517
57732,SD,1.8958966565349544,1.9081419624217122,1.9924069855732724,1.9646153846153849,2.020984081041968,2.019636363636364,2.13768115942029,2.1313868613138687,2.213740458015267,2.2777777777777777,2.272,2.341269841269841
57744,SD,2.097130242825607,2.164519326065411,2.2138492871690425,2.286860581745236,2.3307163886162905,2.414750957854406,2.4666666666666663,2.5225225225225225,2.644859813084112,2.614035087719298,2.625,2.7094017094017095
57745,SD,2.038495971351835,2.0187793427230045,2.1034180543382996,2.0838537020517394,2.1271534044298606,2.1151315789473686,2.245762711864407,2.283333333333333,2.379310344827586,2.3931623931623935,2.452991452991453,2.508928571428571
57747,SD,1.9748892171344163,1.8613560352690788,2.0562162162162165,2.082482027998487,2.1349557522123894,2.090817694369973,2.171929824561403,2.241758241758242,2.3284132841328415,2.3468634686346865,2.332116788321168,2.397849462365591
57754,SD,1.8256059009483665,1.8612745098039214,1.9225641025641027,1.9260230849947535,1.9717599596570854,1.895278167367929,1.8728070175438596,2.0372340425531914,2.1195652173913047,2.1256830601092895,2.1954022988505746,2.260115606936416
57769,SD,2.391503267973856,2.373493975903614,2.4101633393829403,2.4408536585365854,2.468581687612208,2.5641632170313424,2.6140350877192984,2.6804733727810652,2.7906976744186047,2.8079096045197742,2.8324324324324324,2.9
